ID,Recency,Frequency,Monetary,AvgAmount,LastAmount,LastGiftDate,FirstGiftDate,Gifts12,Amt12,GiftsPrev12,AmtPrev12
12063,1141,21,10600.0,504.76190476190476,200.0,2022-06-28,2000-07-04,0.0,0.0,0.0,0.0
17769,2121,3,10534.0,3511.3333333333335,10204.0,2019-10-22,2014-06-30,0.0,0.0,0.0,0.0
13371,7957,3,10350.0,3450.0,100.0,2003-10-30,2000-10-16,0.0,0.0,0.0,0.0
41518,783,16,10250.0,640.625,250.0,2023-06-21,2000-06-22,0.0,0.0,0.0,0.0
18485,1517,3,10250.0,3416.6666666666665,250.0,2021-06-17,2000-06-09,0.0,0.0,0.0,0.0
16009,4501,3,10200.0,3400.0,10000.0,2013-04-16,2001-07-18,0.0,0.0,0.0,0.0
13291,5034,4,10200.0,2550.0,100.0,2011-10-31,2000-11-16,0.0,0.0,0.0,0.0
17167,6076,7,10200.0,1457.142857142857,7000.0,2008-12-23,2000-06-02,0.0,0.0,0.0,0.0
12724,7953,3,10150.0,3383.3333333333335,50.0,2003-11-03,2000-01-31,0.0,0.0,0.0,0.0
23990,2276,6,10100.0,1683.3333333333333,2500.0,2019-05-20,2013-04-16,0.0,0.0,0.0,0.0
15446,8894,3,10100.0,3366.6666666666665,5000.0,2001-04-06,2000-01-31,0.0,0.0,0.0,0.0
18581,394,1,10000.0,10000.0,10000.0,2024-07-14,2024-07-14,0.0,0.0,1.0,10000.0
77427,1106,2,10000.0,5000.0,5000.0,2022-08-02,2021-03-09,0.0,0.0,0.0,0.0
40924,1517,1,10000.0,10000.0,10000.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
72741,1517,1,10000.0,10000.0,10000.0,2021-06-17,2021-06-17,0.0,0.0,0.0,0.0
42314,1518,3,10000.0,3333.3333333333335,5000.0,2021-06-16,2018-08-03,0.0,0.0,0.0,0.0
75836,2083,2,10000.0,5000.0,5000.0,2019-11-29,2019-11-28,0.0,0.0,0.0,0.0
54513,4061,1,10000.0,10000.0,10000.0,2014-06-30,2014-06-30,0.0,0.0,0.0,0.0
59563,4429,1,10000.0,10000.0,10000.0,2013-06-27,2013-06-27,0.0,0.0,0.0,0.0
59570,5765,1,10000.0,10000.0,10000.0,2009-10-30,2009-10-30,0.0,0.0,0.0,0.0
42036,6592,1,10000.0,10000.0,10000.0,2007-07-26,2007-07-26,0.0,0.0,0.0,0.0
43714,2540,29,9850.0,339.6551724137931,200.0,2018-08-29,2005-06-22,0.0,0.0,0.0,0.0
15921,1427,28,9500.0,339.2857142857143,200.0,2021-09-15,2005-07-12,0.0,0.0,0.0,0.0
49552,1517,3,9500.0,3166.6666666666665,2500.0,2021-06-17,2014-06-27,0.0,0.0,0.0,0.0
60430,2974,7,9300.0,1328.5714285714287,2100.0,2017-06-21,2010-04-27,0.0,0.0,0.0,0.0
15101,7348,13,9250.0,711.5384615384615,100.0,2005-06-30,2000-06-29,0.0,0.0,0.0,0.0
