Month,total_amount,donors,donation_count,avg_amount_per_donation,avg_amount_per_donor,avg_donations_per_donor
2014-12,254581.37,9,9,28286.818888888887,28286.818888888887,1.0
2014-11,33217.82,13,14,2372.7014285714286,2555.216923076923,1.0769230769230769
2014-10,28150.0,39,40,703.75,721.7948717948718,1.0256410256410255
2014-09,37544.0,173,177,212.1129943502825,217.01734104046244,1.023121387283237
2014-08,7310.0,26,29,252.06896551724137,281.15384615384613,1.1153846153846154
2014-07,45936.380000000005,42,43,1068.2879069767444,1093.7233333333334,1.0238095238095237
2014-06,156025.0,374,389,401.09254498714654,417.17914438502675,1.0401069518716577
2014-05,10900.0,4,4,2725.0,2725.0,1.0
2014-03,46700.0,199,199,234.67336683417085,234.67336683417085,1.0
2014-02,20200.0,2,2,10100.0,10100.0,1.0
2013-12,16350.0,7,7,2335.714285714286,2335.714285714286,1.0
2013-11,62745.0,187,190,330.2368421052632,335.5347593582888,1.0160427807486632
2013-10,450.0,3,3,150.0,150.0,1.0
2013-09,1050.0,5,5,210.0,210.0,1.0
2013-08,10000.0,19,19,526.3157894736842,526.3157894736842,1.0
2013-07,15550.0,36,37,420.27027027027026,431.94444444444446,1.0277777777777777
2013-06,163205.0,379,414,394.2149758454106,430.6200527704485,1.0923482849604222
2013-05,27800.0,6,6,4633.333333333333,4633.333333333333,1.0
2013-04,19000.0,14,14,1357.142857142857,1357.142857142857,1.0
2013-03,39910.0,194,194,205.72164948453607,205.72164948453607,1.0
2013-02,3100.0,13,13,238.46153846153845,238.46153846153845,1.0
2013-01,725.0,6,7,103.57142857142857,120.83333333333333,1.1666666666666667
2012-12,23450.0,14,14,1675.0,1675.0,1.0
2012-11,47018.0,64,67,701.7611940298508,734.65625,1.046875
2012-10,17340.0,17,23,753.9130434782609,1020.0,1.3529411764705883
2012-09,8550.0,32,32,267.1875,267.1875,1.0
2012-08,13475.0,43,43,313.3720930232558,313.3720930232558,1.0
2012-07,98292.94,59,59,1665.9820338983052,1665.9820338983052,1.0
2012-06,154208.49,215,226,682.3384513274336,717.2487906976744,1.0511627906976744
2012-05,7750.0,24,24,322.9166666666667,322.9166666666667,1.0
2012-04,6702.1,24,24,279.25416666666666,279.25416666666666,1.0
2012-03,11313.94,6,6,1885.6566666666668,1885.6566666666668,1.0
2012-02,8165.0,15,16,510.3125,544.3333333333334,1.0666666666666667
2011-12,2150.0,12,12,179.16666666666666,179.16666666666666,1.0
2011-11,28074.129999999997,20,20,1403.7064999999998,1403.7064999999998,1.0
2011-10,11620.0,31,31,374.83870967741933,374.83870967741933,1.0
2011-09,6725.0,9,9,747.2222222222222,747.2222222222222,1.0
2011-08,21080.0,32,33,638.7878787878788,658.75,1.03125
2011-07,15135.0,44,46,329.0217391304348,343.97727272727275,1.0454545454545454
2011-06,144411.12,289,295,489.529220338983,499.69245674740483,1.0207612456747406
2011-05,66500.0,20,21,3166.6666666666665,3325.0,1.05
2011-04,80300.0,47,49,1638.7755102040817,1708.5106382978724,1.0425531914893618
2011-03,400.0,4,4,100.0,100.0,1.0
2011-02,5830.0,13,14,416.42857142857144,448.46153846153845,1.0769230769230769
2011-01,2150.0,9,9,238.88888888888889,238.88888888888889,1.0
2010-12,3400.0,17,17,200.0,200.0,1.0
2010-11,59186.37,41,41,1443.5700000000002,1443.5700000000002,1.0
2010-10,23500.0,7,7,3357.1428571428573,3357.1428571428573,1.0
2010-09,7970.0,14,14,569.2857142857143,569.2857142857143,1.0
2010-08,15290.0,29,29,527.2413793103449,527.2413793103449,1.0
2010-07,13000.0,43,43,302.3255813953488,302.3255813953488,1.0
2010-06,167862.75,234,241,696.5259336099585,717.3621794871794,1.0299145299145298
2010-05,8600.0,24,24,358.3333333333333,358.3333333333333,1.0
2010-04,6700.0,15,15,446.6666666666667,446.6666666666667,1.0
2010-03,10900.0,4,4,2725.0,2725.0,1.0
2010-02,7075.0,8,8,884.375,884.375,1.0
2010-01,2200.0,5,5,440.0,440.0,1.0
2009-12,15380.0,21,21,732.3809523809524,732.3809523809524,1.0
2009-11,20375.0,43,44,463.0681818181818,473.83720930232556,1.0232558139534884
2009-10,20170.0,31,31,650.6451612903226,650.6451612903226,1.0
2009-09,8290.0,16,16,518.125,518.125,1.0
