ID,Recency,Frequency,Monetary,RFM_Segment
64717,3018,14,2800.0,Regular
20579,4436,8,2800.0,Regular
72081,924,8,2800.0,Champion
73972,782,6,2800.0,Champion
20642,4663,9,2800.0,Regular
13215,789,13,2788.0,Champion
56242,1154,14,2775.0,Champion
40340,1517,12,2760.0,Champion
16385,782,8,2755.0,Champion
36819,7356,12,2750.0,Regular
44096,2609,1,2750.0,Regular
66938,1112,2,2750.0,High Potential
14646,3715,13,2750.0,Regular
12217,8806,9,2750.0,Regular
20126,2122,14,2730.0,Champion
18937,1113,11,2730.0,Champion
15365,5975,9,2722.0,Regular
56205,3088,14,2700.0,Regular
24352,1421,8,2700.0,Champion
21992,1512,11,2700.0,Champion
50567,4501,6,2700.0,Regular
17744,1517,4,2700.0,Champion
13386,2282,10,2700.0,Champion
40733,7113,6,2700.0,Regular
13612,1869,6,2700.0,Champion
66237,1517,5,2700.0,Champion
13424,4799,9,2700.0,Regular
62413,1899,9,2600.0,Champion
13843,8085,3,2600.0,Regular
12061,5759,7,2600.0,Regular
54641,861,13,2600.0,Champion
43727,2899,13,2600.0,Regular
18714,2870,13,2600.0,Regular
54281,2269,13,2600.0,Champion
63292,2569,13,2600.0,Regular
61427,2262,13,2600.0,Champion
22879,775,13,2600.0,Champion
44324,3330,12,2600.0,Regular
15832,2415,12,2550.0,Regular
25840,1517,2,2550.0,High Potential
16319,4436,16,2550.0,Regular
64171,1517,11,2550.0,Champion
19079,4065,10,2550.0,Regular
48132,1531,13,2550.0,Champion
12783,7634,12,2550.0,Regular
40558,1141,20,2548.0,Champion
20384,1517,1,2500.0,High Potential
16072,6455,1,2500.0,Regular
47779,3455,11,2500.0,Regular
15084,3232,11,2500.0,Regular
43407,7585,3,2500.0,Regular
56268,2605,5,2500.0,Regular
60344,1517,1,2500.0,High Potential
15518,3241,11,2500.0,Regular
16775,6592,1,2500.0,Regular
65556,3696,2,2500.0,Regular
43233,8803,1,2500.0,Regular
14572,2605,9,2450.0,Regular
